Education,Marital Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Discount Purchases,Web,Catalog,Store,NumWebVisitsMonth,Age,Children,total_spend,total_promo,Parental_status,Days_as_Customer,cluster
2,0,58138.0,58,635,81,546,120.5,81,88.0,3,8,10,4,7,68,0,1617.0,0,0,4684.0,0
2,0,46344.0,38,11,1,6,2.0,1,6.0,2,1,1,2,5,71,2,27.0,0,1,4134.0,1
2,1,71613.0,26,426,49,127,111.0,21,42.0,1,8,2,10,4,60,0,776.0,0,0,4333.0,0
2,1,26646.0,26,11,4,20,10.0,3,5.0,2,2,0,4,6,41,1,53.0,0,1,4160.0,1
4,1,58293.0,94,173,43,118,46.0,27,15.0,5,5,3,6,5,44,1,422.0,0,1,4182.0,2
3,1,62513.0,16,520,42,98,0.0,42,14.0,2,6,4,10,6,58,1,716.0,0,1,4314.0,2
2,0,55635.0,34,235,65,164,50.0,49,27.0,4,7,3,7,6,54,1,590.0,0,1,4614.0,2
4,1,33454.0,32,76,10,56,3.0,1,23.0,2,4,0,4,8,40,1,169.0,0,1,4438.0,1
4,1,30351.0,19,14,0,24,3.0,3,2.0,1,3,0,2,9,51,1,46.0,0,1,4409.0,1
4,1,5648.0,68,28,0,6,1.0,1,13.0,1,1,0,0,20,75,2,49.0,1,1,4129.0,1
2,1,51381.5,11,5,5,6,0.0,2,1.0,1,1,0,2,7,42,1,19.0,0,1,4247.0,1
0,1,7500.0,59,6,16,11,11.0,1,16.0,1,2,0,3,8,49,0,61.0,0,0,4614.0,1
2,0,63033.0,82,194,61,480,120.5,81,30.0,1,3,4,8,2,66,0,1102.0,0,0,4247.0,0
3,0,59354.0,53,233,2,53,3.0,5,14.0,3,6,1,5,6,73,2,310.0,0,1,4247.0,2
2,1,17323.0,38,3,14,17,6.0,1,5.0,1,1,0,3,8,38,0,46.0,0,0,4648.0,1
4,0,82800.0,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,79,0,1315.0,2,0,4603.0,0
2,1,41850.0,51,53,5,19,2.0,13,4.0,3,3,0,3,8,45,2,96.0,0,1,4573.0,1
2,1,37760.0,20,84,5,38,120.5,12,28.0,2,4,1,6,7,79,0,317.0,0,0,4688.0,2
3,1,76995.0,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,76,1,1782.0,1,1,4479.0,2
1,0,33812.0,86,4,17,19,30.0,24,39.0,2,2,1,3,6,40,1,133.0,0,1,4624.0,1
2,1,37040.0,41,86,2,73,69.0,38,48.0,1,4,2,5,8,43,0,316.0,0,0,4711.0,2
2,1,2447.0,42,1,1,556,1.0,1,1.0,15,0,28,0,1,46,1,1730.0,0,1,4560.0,2
4,1,58607.0,63,867,0,86,0.0,0,19.0,3,2,3,9,8,76,1,972.0,1,1,4574.0,2
4,1,65324.0,0,384,0,102,21.0,32,5.0,3,6,2,9,4,71,1,544.0,0,1,4190.0,2
2,1,40689.0,69,270,3,27,39.0,6,99.0,7,7,1,5,8,74,1,444.0,0,1,4489.0,2
2,0,18589.0,89,6,4,25,15.0,12,13.0,2,2,1,3,7,56,0,75.0,0,0,4564.0,1
2,1,53359.0,4,173,4,30,3.0,6,41.0,4,5,1,4,7,49,2,257.0,0,1,4419.0,2
2,0,51381.5,19,5,1,3,3.0,81,126.5,0,27,0,0,1,39,1,637.0,0,1,4515.0,2
2,1,38360.0,26,36,2,42,20.0,21,10.0,2,2,1,4,3,36,1,131.0,0,1,4415.0,1
4,1,84618.0,96,684,81,556,21.0,66,0.0,1,6,9,10,2,60,0,1672.0,1,0,4240.0,0
3,0,10979.0,34,8,4,10,2.0,2,4.0,2,3,0,3,5,36,0,30.0,0,0,4059.0,1
3,1,38620.0,56,112,17,44,34.0,22,89.0,1,2,5,3,3,62,0,318.0,0,0,4435.0,0
2,1,40548.0,31,110,0,5,2.0,0,3.0,2,2,1,4,5,55,1,120.0,1,1,4648.0,1
4,0,46610.0,8,96,12,96,33.0,22,43.0,6,4,1,6,6,73,2,302.0,0,1,4629.0,2
3,1,68657.0,4,482,34,471,119.0,68,22.0,1,3,5,9,7,79,0,1196.0,0,0,4515.0,0
3,0,49389.0,55,40,0,19,2.0,1,3.0,1,2,0,3,7,74,2,65.0,0,1,4325.0,1
4,1,67353.0,37,702,17,151,0.0,8,35.0,5,5,6,12,2,55,1,913.0,0,1,4201.0,2
1,1,23718.0,76,6,3,14,15.0,7,36.0,3,3,1,2,7,49,1,81.0,0,1,4321.0,1
2,0,42429.0,99,55,0,6,2.0,0,4.0,2,1,1,3,5,52,1,67.0,0,1,4159.0,1
4,0,48948.0,53,437,8,206,120.5,49,42.0,2,7,10,5,6,82,0,902.0,1,0,4534.0,0
2,1,80011.0,3,421,76,536,82.0,81,102.0,2,8,6,5,4,45,1,1395.0,0,1,4447.0,0
3,1,20559.0,88,13,1,29,3.0,0,7.0,2,2,0,3,8,40,1,53.0,0,1,4495.0,1
2,1,21994.0,4,9,0,6,3.0,1,3.0,1,0,0,3,5,68,1,22.0,0,1,4573.0,1
4,0,51381.5,80,81,11,50,3.0,2,39.0,1,1,3,4,2,66,0,186.0,0,0,4257.0,1
3,1,7500.0,19,3,1,10,3.0,2,12.0,3,2,0,3,5,50,1,31.0,0,1,4291.0,1
2,0,79941.0,72,123,81,266,120.5,30,126.5,1,2,4,9,1,49,0,984.0,0,0,4022.0,0
1,1,7500.0,24,3,18,14,15.0,22,50.0,3,3,1,3,9,29,0,122.0,0,0,4618.0,1
2,1,41728.0,92,13,6,15,3.0,5,13.0,1,2,0,2,10,57,1,55.0,0,1,4422.0,1
2,0,51381.5,96,48,5,48,6.0,10,7.0,3,2,1,4,6,74,3,124.0,0,1,4200.0,1
4,1,72550.0,39,826,50,317,50.0,38,38.0,9,5,2,12,8,71,2,1319.0,0,1,4619.0,2
2,0,65486.0,29,245,19,125,37.0,67,14.0,1,4,2,10,2,68,1,507.0,0,1,4069.0,0
3,1,79143.0,2,650,37,556,27.0,81,32.0,1,6,9,13,3,61,0,1693.0,0,0,4708.0,0
2,0,35790.0,54,12,6,20,30.0,1,3.0,2,2,0,3,7,48,1,72.0,0,1,4564.0,1
2,0,82582.0,54,510,81,550,120.5,40,126.5,1,4,9,7,1,48,0,1617.0,2,0,4043.0,0
2,1,66373.0,57,328,9,124,12.0,24,109.0,7,4,2,10,3,47,2,606.0,0,1,4403.0,2
3,1,82384.0,55,984,51,432,120.5,81,126.5,1,3,10,13,1,70,0,1957.0,1,0,4608.0,0
