iter	Passed	Remaining
0	6	597
1	7	353
2	11	384
3	16	390
4	18	352
5	22	357
6	26	357
7	30	352
8	32	325
9	35	320
10	39	319
11	42	313
12	45	301
13	49	302
14	52	298
15	56	295
16	59	291
17	63	290
18	67	286
19	70	283
20	75	282
21	78	279
22	82	275
23	86	274
24	89	269
25	93	267
26	97	263
27	101	259
28	105	257
29	109	255
30	112	250
31	116	246
32	119	242
33	120	234
34	124	231
35	127	227
36	131	223
37	134	219
38	138	217
39	142	213
40	145	210
41	150	207
42	153	203
43	158	201
44	169	207
45	174	205
46	185	209
47	192	208
48	197	205
49	201	201
50	206	198
51	213	196
52	218	193
53	223	190
54	227	186
55	232	182
56	238	179
57	241	175
58	246	171
59	251	167
60	255	163
61	260	159
62	265	156
63	271	152
64	273	147
65	277	143
66	281	138
67	285	134
68	289	130
69	293	125
70	298	121
71	301	117
72	305	113
73	309	108
74	313	104
75	317	100
76	322	96
77	325	91
78	331	88
79	334	83
80	339	79
81	343	75
82	348	71
83	351	67
84	353	62
85	357	58
86	361	54
87	365	49
88	369	45
89	373	41
90	377	37
91	381	33
92	385	29
93	389	24
94	393	20
95	397	16
96	401	12
97	405	8
98	409	4
99	413	0
